dependents:c5
,freshness_DIV,c5_DIV,d5_DIV,subject_DIV,variety,balance,disparsity,impact_diversity,teamsize,age_mean,age_std,pnum_mean,pnum_std,cn_mean,cn_std,rank_mean,rank_std,num_of_refs,journal fixed,Year fixed,R2,# of Smaples
Model 266,--,1.8555(****),--,--,-24.4932(****),-1.4519(),--,--,2.0059(****),0.1002(****),-0.0878(**),-0.0577(****),0.0230(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4231(****),True,False,0.18256947807012547,143508
Model 267,--,-0.3503(),--,--,-54.0677(****),2.5150(),--,--,1.1786(****),0.0611(***),-0.3073(****),-0.0950(****),0.0247(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3993(****),False,True,0.1602592961893594,143508
Model 268,--,0.7397(),--,--,-50.8116(****),3.4110(*),--,--,1.5807(****),0.0237(),-0.1487(****),-0.0874(****),0.0302(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3843(****),True,True,0.1226697963677772,143508
Model 269,--,1.0502(*),--,--,-22.4751(***),--,2.1903(),--,1.7703(****),0.1787(****),-0.2397(****),-0.0583(****),0.0177(*),0.0022(****),0.0001(*),-0.0007(****),0.0017(****),0.4287(****),False,False,0.2143149201378276,142341
Model 270,--,1.7160(****),--,--,-25.8228(****),--,-1.9155(),--,2.0132(****),0.1027(****),-0.0894(**),-0.0576(****),0.0231(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4238(****),True,False,0.181259300397005,142341
Model 271,--,-0.2387(),--,--,-47.3930(****),--,-8.5154(),--,1.1836(****),0.0640(***),-0.3100(****),-0.0951(****),0.0249(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3973(****),False,True,0.15995001926909447,142341
Model 272,--,0.8553(*),--,--,-46.1484(****),--,-5.3897(),--,1.5847(****),0.0266(),-0.1503(****),-0.0875(****),0.0304(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3829(****),True,True,0.12217496605932532,142341
Model 273,--,1.4322(**),--,--,-17.1261(**),--,--,-1.6371(*),1.7585(****),0.1767(****),-0.2366(****),-0.0581(****),0.0176(*),0.0022(****),0.0001(**),-0.0006(****),0.0017(****),0.4266(****),False,False,0.215611863674677,143508
Model 274,--,1.5082(***),--,--,-30.2242(****),--,--,1.6600(*),2.0105(****),0.0986(****),-0.0880(**),-0.0575(****),0.0230(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4259(****),True,False,0.18260113166304748,143508
Model 275,--,-0.3252(),--,--,-52.0976(****),--,--,0.4513(),1.1808(****),0.0609(***),-0.3073(****),-0.0951(****),0.0247(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3988(****),False,True,0.16024763893789717,143508
Model 276,--,0.4611(),--,--,-54.5867(****),--,--,2.7395(****),1.5850(****),0.0220(),-0.1489(****),-0.0875(****),0.0302(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3866(****),True,True,0.12274792244658783,143508
Model 277,--,0.9726(*),--,--,--,-5.5349(***),-1.4559(),--,1.7682(****),0.1764(****),-0.2389(****),-0.0582(****),0.0177(*),0.0022(****),0.0001(*),-0.0007(****),0.0017(****),0.4179(****),False,False,0.21430020557004903,142341
Model 278,--,1.4979(***),--,--,--,-3.1630(),-7.5778(),--,2.0056(****),0.1011(****),-0.0896(**),-0.0578(****),0.0231(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4114(****),True,False,0.18118489016998707,142341
Model 279,--,-0.8252(),--,--,--,-0.4060(),-26.2301(****),--,1.1974(****),0.0610(***),-0.3054(****),-0.0936(****),0.0244(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3744(****),False,True,0.15957508847536084,142341
Model 280,--,0.1828(),--,--,--,0.9574(),-19.5667(***),--,1.5829(****),0.0243(),-0.1488(****),-0.0871(****),0.0302(***),0.0020(****),0.0000(),-0.0004(****),0.0004(*),0.3613(****),True,True,0.12184766415198944,142341
Model 281,--,1.3454(**),--,--,--,-3.8682(*),--,-1.6745(*),1.7554(****),0.1747(****),-0.2361(****),-0.0580(****),0.0176(*),0.0022(****),0.0001(**),-0.0006(****),0.0017(****),0.4179(****),False,False,0.21559305671435236,143508
Model 282,--,1.2666(**),--,--,--,-4.0847(*),--,1.2808(),1.9980(****),0.0967(****),-0.0886(**),-0.0578(****),0.0229(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4105(****),True,False,0.18249966860979783,143508
Model 283,--,-0.8514(),--,--,--,-1.8492(),--,-1.0077(),1.1895(****),0.0590(***),-0.3025(****),-0.0929(****),0.0241(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3718(****),False,True,0.15975312480923953,143508
Model 284,--,-0.1853(),--,--,--,-0.9895(),--,1.2393(),1.5772(****),0.0210(),-0.1477(****),-0.0870(****),0.0300(***),0.0020(****),0.0000(),-0.0004(****),0.0004(*),0.3594(****),True,True,0.12226961558115357,143508
Model 285,--,1.1581(**),--,--,--,--,-2.6957(),-2.2641(***),1.7614(****),0.1784(****),-0.2384(****),-0.0579(****),0.0176(*),0.0022(****),0.0001(**),-0.0007(****),0.0017(****),0.4174(****),False,False,0.21430563482193732,142341
Model 286,--,1.1940(**),--,--,--,--,-11.3780(*),0.9835(),2.0101(****),0.0998(****),-0.0892(**),-0.0576(****),0.0230(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4116(****),True,False,0.18117689302182471,142341
Model 287,--,-0.7293(),--,--,--,--,-25.5371(****),-0.6303(),1.1955(****),0.0616(***),-0.3054(****),-0.0935(****),0.0244(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3744(****),False,True,0.1595804189094433,142341
Model 288,--,-0.0373(),--,--,--,--,-21.7519(****),1.6358(*),1.5857(****),0.0230(),-0.1487(****),-0.0871(****),0.0302(***),0.0020(****),0.0000(),-0.0005(****),0.0004(*),0.3616(****),True,True,0.1218832997768956,142341
Model 289,--,--,-5.7405(****),-468.0201(****),112.4257(****),--,--,--,1.6401(****),0.1813(****),-0.2477(****),-0.0656(****),0.0184(*),0.0022(****),0.0001(*),-0.0007(****),0.0017(****),0.4122(****),False,False,0.21637080153385757,142341
Model 290,--,--,-3.7702(****),-288.3265(****),55.7132(****),--,--,--,1.9590(****),0.1037(****),-0.0918(**),-0.0604(****),0.0236(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4143(****),True,False,0.18207477482192658,142341
Model 291,--,--,-4.1168(****),-131.8094(**),-8.8519(),--,--,--,1.1348(****),0.0705(****),-0.3127(****),-0.0983(****),0.0249(**),0.0023(****),0.0000(),-0.0011(****),0.0016(****),0.3917(****),False,True,0.16085903536946455,142341
Model 292,--,--,-2.4408(****),-41.4132(),-31.1089(*),--,--,--,1.5706(****),0.0285(),-0.1500(****),-0.0881(****),0.0306(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3803(****),True,True,0.12247086445333633,142341
Model 293,--,--,-5.6026(****),-99.3665(****),--,1.1657(),--,--,1.6812(****),0.1839(****),-0.2452(****),-0.0646(****),0.0182(*),0.0022(****),0.0001(*),-0.0007(****),0.0018(****),0.4297(****),False,False,0.2160144728123773,142341
Model 294,--,--,-3.7709(****),-132.8586(****),--,4.3090(*),--,--,1.9783(****),0.1046(****),-0.0901(**),-0.0598(****),0.0235(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4258(****),True,False,0.18201020110980992,142341
Model 295,--,--,-4.0897(****),-221.8039(****),--,8.0290(****),--,--,1.1263(****),0.0710(****),-0.3136(****),-0.0986(****),0.0249(**),0.0023(****),0.0000(),-0.0011(****),0.0016(****),0.3955(****),False,True,0.16096161233174477,142341
Model 296,--,--,-2.5149(****),-214.5485(****),--,9.3882(****),--,--,1.5664(****),0.0291(),-0.1503(****),-0.0882(****),0.0306(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3819(****),True,True,0.1225900651130778,142341
Model 297,--,--,-5.6250(****),-108.9768(****),--,--,11.8468(*),--,1.6732(****),0.1831(****),-0.2461(****),-0.0647(****),0.0181(*),0.0022(****),0.0001(*),-0.0007(****),0.0018(****),0.4292(****),False,False,0.21603959451831778,142341
Model 298,--,--,-3.7559(****),-107.4288(****),--,--,4.9515(),--,1.9740(****),0.1042(****),-0.0906(**),-0.0599(****),0.0235(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4228(****),True,False,0.181985933728261,142341
Model 299,--,--,-4.1142(****),-148.9284(****),--,--,-8.3422(),--,1.1363(****),0.0705(****),-0.3124(****),-0.0983(****),0.0249(**),0.0023(****),0.0000(),-0.0011(****),0.0016(****),0.3902(****),False,True,0.16087103663313318,142341
Model 300,--,--,-2.4553(****),-138.3401(****),--,--,-5.7561(),--,1.5680(****),0.0290(),-0.1499(****),-0.0881(****),0.0306(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3760(****),True,True,0.12244706762584723,142341
Model 301,--,--,-5.6045(****),-89.0990(****),--,--,--,-0.1354(),1.6814(****),0.1839(****),-0.2451(****),-0.0645(****),0.0181(*),0.0022(****),0.0001(*),-0.0007(****),0.0018(****),0.4289(****),False,False,0.2160126755065137,142341
Model 302,--,--,-3.8309(****),-137.5064(****),--,--,--,3.0745(****),1.9782(****),0.1014(****),-0.0914(**),-0.0599(****),0.0235(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4259(****),True,False,0.1821060809015752,142341
Model 303,--,--,-4.1414(****),-168.6890(****),--,--,--,0.6704(),1.1346(****),0.0702(****),-0.3128(****),-0.0985(****),0.0249(**),0.0023(****),0.0000(),-0.0011(****),0.0016(****),0.3910(****),False,True,0.16086318065295657,142341
Model 304,--,--,-2.5567(****),-181.7734(****),--,--,--,3.1558(****),1.5704(****),0.0271(),-0.1505(****),-0.0883(****),0.0305(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3792(****),True,True,0.12258042056785834,142341
Model 305,--,--,-5.6134(****),--,-2.5678(),-2.2227(),--,--,1.6826(****),0.1777(****),-0.2402(****),-0.0638(****),0.0177(*),0.0022(****),0.0001(**),-0.0007(****),0.0018(****),0.4200(****),False,False,0.2171214505646063,143508
Model 306,--,--,-3.6964(****),--,-13.9208(*),1.1002(),--,--,1.9768(****),0.1006(****),-0.0874(**),-0.0595(****),0.0232(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4191(****),True,False,0.1831488320667024,143508
Model 307,--,--,-4.0545(****),--,-45.6307(****),2.5959(),--,--,1.1382(****),0.0660(****),-0.3091(****),-0.0981(****),0.0246(**),0.0023(****),0.0000(),-0.0011(****),0.0016(****),0.3950(****),False,True,0.16113412047423736,143508
Model 308,--,--,-2.4144(****),--,-44.9318(****),4.6687(**),--,--,1.5688(****),0.0250(),-0.1480(****),-0.0880(****),0.0304(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3822(****),True,True,0.12296778544930231,143508
Model 309,--,--,-5.7353(****),--,-9.2382(),--,4.6450(),--,1.6816(****),0.1809(****),-0.2443(****),-0.0642(****),0.0178(*),0.0022(****),0.0001(*),-0.0007(****),0.0018(****),0.4214(****),False,False,0.21590267736966195,142341
Model 310,--,--,-3.8086(****),--,-16.0651(**),--,2.4352(),--,1.9779(****),0.1031(****),-0.0900(**),-0.0597(****),0.0235(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4193(****),True,False,0.18189254591271442,142341
Model 311,--,--,-4.0859(****),--,-39.4771(****),--,-7.3599(),--,1.1423(****),0.0692(****),-0.3120(****),-0.0983(****),0.0248(**),0.0023(****),0.0000(),-0.0011(****),0.0016(****),0.3931(****),False,True,0.16082998712744512,142341
Model 312,--,--,-2.4342(****),--,-40.2282(****),--,-2.8167(),--,1.5723(****),0.0281(),-0.1498(****),-0.0881(****),0.0306(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3807(****),True,True,0.12246841948429654,142341
Model 313,--,--,-5.6099(****),--,-3.9199(),--,--,-0.5312(),1.6811(****),0.1782(****),-0.2400(****),-0.0637(****),0.0176(*),0.0022(****),0.0001(**),-0.0007(****),0.0018(****),0.4204(****),False,False,0.21711472153203437,143508
Model 314,--,--,-3.7944(****),--,-21.7212(***),--,--,2.8098(****),1.9795(****),0.0979(****),-0.0884(**),-0.0595(****),0.0233(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4222(****),True,False,0.18325660965973356,143508
Model 315,--,--,-4.0602(****),--,-44.0245(****),--,--,0.6361(),1.1408(****),0.0656(***),-0.3091(****),-0.0983(****),0.0246(**),0.0023(****),0.0000(),-0.0011(****),0.0016(****),0.3946(****),False,True,0.16112438870267398,143508
Model 316,--,--,-2.4741(****),--,-49.8534(****),--,--,3.2577(****),1.5734(****),0.0231(),-0.1484(****),-0.0883(****),0.0303(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3847(****),True,True,0.1230730160613166,143508
Model 317,--,--,-5.7634(****),--,--,-4.0933(*),4.9637(),--,1.6793(****),0.1801(****),-0.2442(****),-0.0643(****),0.0178(*),0.0022(****),0.0001(*),-0.0007(****),0.0018(****),0.4172(****),False,False,0.21592456266078253,142341
Model 318,--,--,-3.8532(****),--,--,-0.9965(),-2.1144(),--,1.9729(****),0.1019(****),-0.0902(**),-0.0598(****),0.0234(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4112(****),True,False,0.18185639636024786,142341
Model 319,--,--,-4.3479(****),--,--,-0.3771(),-22.7168(****),--,1.1510(****),0.0671(****),-0.3085(****),-0.0974(****),0.0243(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3734(****),False,True,0.16056546510932168,142341
Model 320,--,--,-2.6224(****),--,--,1.7816(),-17.0221(**),--,1.5695(****),0.0263(),-0.1487(****),-0.0879(****),0.0304(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3609(****),True,True,0.1222165499775435,142341
Model 321,--,--,-5.6171(****),--,--,-2.1531(),--,-0.3572(),1.6810(****),0.1777(****),-0.2400(****),-0.0637(****),0.0177(*),0.0022(****),0.0001(**),-0.0007(****),0.0018(****),0.4187(****),False,False,0.21712208544572642,143508
Model 322,--,--,-3.8434(****),--,--,-2.1652(),--,2.3496(***),1.9691(****),0.0966(****),-0.0890(**),-0.0598(****),0.0232(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4106(****),True,False,0.18319387026247413,143508
Model 323,--,--,-4.3769(****),--,--,-1.4094(),--,-0.7746(),1.1441(****),0.0647(***),-0.3054(****),-0.0968(****),0.0240(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3712(****),False,True,0.16076826941874534,143508
Model 324,--,--,-2.6884(****),--,--,-0.2966(),--,1.5613(*),1.5642(****),0.0227(),-0.1476(****),-0.0879(****),0.0301(***),0.0020(****),0.0000(),-0.0004(****),0.0004(**),0.3588(****),True,True,0.12266161172906243,143508
Model 325,--,--,-5.7532(****),--,--,--,3.3861(),-1.2278(*),1.6766(****),0.1811(****),-0.2437(****),-0.0640(****),0.0178(*),0.0022(****),0.0001(*),-0.0007(****),0.0018(****),0.4169(****),False,False,0.21591079695734727,142341
Model 326,--,--,-3.9336(****),--,--,--,-7.0367(),1.9338(**),1.9757(****),0.0997(****),-0.0905(**),-0.0598(****),0.0234(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4109(****),True,False,0.18190648387116115,142341
Model 327,--,--,-4.3365(****),--,--,--,-22.0513(****),-0.5184(),1.1496(****),0.0676(****),-0.3085(****),-0.0973(****),0.0243(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3735(****),False,True,0.16056926347966505,142341
Model 328,--,--,-2.6676(****),--,--,--,-19.6698(***),1.9452(**),1.5724(****),0.0249(),-0.1487(****),-0.0880(****),0.0303(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3610(****),True,True,0.12226572545737857,142341
Model 329,--,--,--,-820.5948(****),170.6301(****),15.9756(****),--,--,1.7014(****),0.1799(****),-0.2446(****),-0.0598(****),0.0186(*),0.0022(****),0.0001(*),-0.0007(****),0.0017(****),0.4199(****),False,False,0.21499219181736318,142341
Model 330,--,--,--,-573.1126(****),107.1481(****),12.5191(****),--,--,1.9860(****),0.1038(****),-0.0910(**),-0.0583(****),0.0233(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(**),0.4191(****),True,False,0.18152141507636843,142341
Model 331,--,--,--,-361.4265(****),26.8141(),10.9244(****),--,--,1.1609(****),0.0667(****),-0.3120(****),-0.0955(****),0.0250(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3964(****),False,True,0.16008768976309995,142341
Model 332,--,--,--,-253.2090(***),6.9829(),9.5958(****),--,--,1.5781(****),0.0275(),-0.1505(****),-0.0874(****),0.0304(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3828(****),True,True,0.122250921911774,142341
Model 333,--,--,--,-465.2041(****),100.1946(****),--,0.6171(),--,1.7318(****),0.1793(****),-0.2422(****),-0.0592(****),0.0184(*),0.0022(****),0.0001(*),-0.0006(****),0.0017(****),0.4198(****),False,False,0.21474782512477908,142341
Model 334,--,--,--,-300.2017(****),54.2726(***),--,-2.2476(),--,1.9979(****),0.1037(****),-0.0898(**),-0.0581(****),0.0233(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4189(****),True,False,0.18136528571777544,142341
Model 335,--,--,--,-120.0524(*),-16.7583(),--,-9.3160(),--,1.1787(****),0.0651(***),-0.3105(****),-0.0952(****),0.0250(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3952(****),False,True,0.15998111812180704,142341
Model 336,--,--,--,-44.4903(),-32.4651(*),--,-4.6578(),--,1.5838(****),0.0266(),-0.1500(****),-0.0873(****),0.0305(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3822(****),True,True,0.12215513632771768,142341
Model 337,--,--,--,-459.7912(****),100.6543(****),--,--,-0.5255(),1.7309(****),0.1797(****),-0.2420(****),-0.0591(****),0.0184(*),0.0022(****),0.0001(*),-0.0006(****),0.0017(****),0.4193(****),False,False,0.21475146571111015,142341
Model 338,--,--,--,-323.0731(****),51.0294(***),--,--,2.5873(****),1.9999(****),0.1012(****),-0.0908(**),-0.0580(****),0.0233(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4219(****),True,False,0.1814530126510855,142341
Model 339,--,--,--,-121.2178(*),-22.1928(),--,--,0.4833(),1.1773(****),0.0649(***),-0.3109(****),-0.0954(****),0.0249(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3966(****),False,True,0.15996743787963008,142341
Model 340,--,--,--,-69.0824(),-37.1325(**),--,--,2.9484(****),1.5873(****),0.0247(),-0.1505(****),-0.0875(****),0.0304(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3859(****),True,True,0.12227351057989999,142341
Model 341,--,--,--,-152.5261(****),--,1.4794(),9.1989(),--,1.7606(****),0.1813(****),-0.2408(****),-0.0585(****),0.0182(*),0.0022(****),0.0001(*),-0.0007(****),0.0017(****),0.4358(****),False,False,0.21448153323901098,142341
Model 342,--,--,--,-149.2186(****),--,3.5255(),2.0261(),--,2.0143(****),0.1044(****),-0.0886(**),-0.0575(****),0.0233(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4296(****),True,False,0.18130086627546993,142341
Model 343,--,--,--,-239.2773(****),--,9.3069(****),-13.7163(*),--,1.1692(****),0.0658(***),-0.3114(****),-0.0955(****),0.0250(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3986(****),False,True,0.16011235932901036,142341
Model 344,--,--,--,-215.7156(****),--,9.3264(****),-9.8509(),--,1.5810(****),0.0271(),-0.1501(****),-0.0874(****),0.0305(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3836(****),True,True,0.12227026467606994,142341
Model 345,--,--,--,-136.2849(****),--,2.1827(),--,-0.6270(),1.7652(****),0.1824(****),-0.2399(****),-0.0583(****),0.0182(*),0.0022(****),0.0001(*),-0.0006(****),0.0017(****),0.4356(****),False,False,0.21447044308335728,142341
Model 346,--,--,--,-167.3225(****),--,2.2297(),--,2.5295(***),2.0167(****),0.1019(****),-0.0893(**),-0.0575(****),0.0233(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4313(****),True,False,0.18138202759908573,142341
Model 347,--,--,--,-255.0772(****),--,8.7760(****),--,-0.0623(),1.1656(****),0.0661(***),-0.3118(****),-0.0955(****),0.0250(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3986(****),False,True,0.16007419999404582,142341
Model 348,--,--,--,-244.1497(****),--,7.7437(****),--,2.3955(***),1.5821(****),0.0258(),-0.1507(****),-0.0875(****),0.0304(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3851(****),True,True,0.1223282324977828,142341
Model 349,--,--,--,-135.7732(****),--,--,10.4054(),-0.6640(),1.7588(****),0.1816(****),-0.2406(****),-0.0584(****),0.0182(*),0.0022(****),0.0001(*),-0.0007(****),0.0017(****),0.4343(****),False,False,0.21448409388786482,142341
Model 350,--,--,--,-151.5040(****),--,--,-1.0499(),2.6935(****),2.0164(****),0.1017(****),-0.0894(**),-0.0575(****),0.0233(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4300(****),True,False,0.18137470189174842,142341
Model 351,--,--,--,-180.1604(****),--,--,-11.4024(*),0.6502(),1.1786(****),0.0649(***),-0.3105(****),-0.0953(****),0.0250(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3934(****),False,True,0.15997915543412577,142341
Model 352,--,--,--,-180.9789(****),--,--,-11.7752(*),3.1321(****),1.5856(****),0.0251(),-0.1502(****),-0.0875(****),0.0304(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3809(****),True,True,0.12225810271572002,142341
Model 353,--,--,--,--,-16.0906(**),-3.7714(*),5.6681(),--,1.7722(****),0.1788(****),-0.2389(****),-0.0579(****),0.0179(*),0.0022(****),0.0001(*),-0.0007(****),0.0017(****),0.4275(****),False,False,0.21431062502304743,142341
Model 354,--,--,--,--,-19.8096(**),-0.9636(),1.0239(),--,2.0172(****),0.1030(****),-0.0881(**),-0.0573(****),0.0232(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4238(****),True,False,0.18116983767087624,142341
Model 355,--,--,--,--,-51.0716(****),3.0361(),-10.6242(),--,1.1824(****),0.0639(***),-0.3102(****),-0.0953(****),0.0248(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3983(****),False,True,0.1599677001478298,142341
Model 356,--,--,--,--,-47.1311(****),3.9721(*),-6.1873(),--,1.5859(****),0.0259(),-0.1498(****),-0.0873(****),0.0305(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3840(****),True,True,0.1221850892596813,142341
Model 357,--,--,--,--,-11.8094(*),-2.2736(),--,-0.8205(),1.7675(****),0.1765(****),-0.2351(****),-0.0575(****),0.0177(*),0.0022(****),0.0001(**),-0.0006(****),0.0017(****),0.4266(****),False,False,0.2155634344422227,143508
Model 358,--,--,--,--,-24.6283(****),-2.0187(),--,2.4894(***),2.0160(****),0.0982(****),-0.0868(**),-0.0572(****),0.0231(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4262(****),True,False,0.1825397563647172,143508
Model 359,--,--,--,--,-55.0212(****),2.2538(),--,0.0758(),1.1785(****),0.0612(***),-0.3076(****),-0.0951(****),0.0247(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3993(****),False,True,0.16025541848621583,143508
Model 360,--,--,--,--,-54.9466(****),1.9763(),--,2.6807(****),1.5855(****),0.0217(),-0.1486(****),-0.0874(****),0.0302(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3871(****),True,True,0.12274960599548146,143508
Model 361,--,--,--,--,-16.5166(**),--,4.9529(),-1.3888(*),1.7685(****),0.1801(****),-0.2385(****),-0.0577(****),0.0178(*),0.0022(****),0.0001(*),-0.0007(****),0.0017(****),0.4275(****),False,False,0.21430877471954812,142341
Model 362,--,--,--,--,-25.9298(****),--,-2.3322(),2.1264(**),2.0226(****),0.1010(****),-0.0884(**),-0.0572(****),0.0232(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4266(****),True,False,0.18122717515512554,142341
Model 363,--,--,--,--,-48.9855(****),--,-9.2036(),0.4223(),1.1844(****),0.0637(***),-0.3102(****),-0.0953(****),0.0248(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3976(****),False,True,0.15995079461625283,142341
Model 364,--,--,--,--,-51.0606(****),--,-8.1047(),2.9866(****),1.5907(****),0.0240(),-0.1501(****),-0.0875(****),0.0304(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3863(****),True,True,0.12227536220067137,142341
Model 365,--,--,--,--,--,-3.9149(*),1.9845(),-1.3853(*),1.7669(****),0.1784(****),-0.2379(****),-0.0576(****),0.0178(*),0.0022(****),0.0001(*),-0.0007(****),0.0017(****),0.4195(****),False,False,0.21429755297327158,142341
Model 366,--,--,--,--,--,-3.5279(*),-7.6662(),1.8422(**),2.0136(****),0.0996(****),-0.0887(**),-0.0574(****),0.0232(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4138(****),True,False,0.1811579497144662,142341
Model 367,--,--,--,--,--,-0.2296(),-26.2067(****),-0.8794(),1.1948(****),0.0620(***),-0.3058(****),-0.0937(****),0.0243(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3736(****),False,True,0.15956447906707205,142341
Model 368,--,--,--,--,--,-0.1337(),-21.7364(****),1.6372(*),1.5857(****),0.0230(),-0.1487(****),-0.0871(****),0.0302(***),0.0020(****),0.0000(),-0.0005(****),0.0004(*),0.3616(****),True,True,0.12188329213204219,142341
Model 369,17.5043(****),2.0057(****),-6.1948(****),-122.8482(****),--,--,--,--,1.5548(****),0.1736(****),-0.2542(****),-0.0750(****),0.0201(*),0.0022(****),0.0001(*),-0.0007(****),0.0018(****),0.4303(****),False,False,0.21871170713885746,142341
Model 370,15.0885(****),2.4137(****),-4.5811(****),-150.6346(****),--,--,--,--,1.8759(****),0.0974(****),-0.0989(***),-0.0672(****),0.0248(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4232(****),True,False,0.18427302922401378,142341
Model 371,10.6163(****),0.4421(),-4.4729(****),-169.1946(****),--,--,--,--,1.1113(****),0.0721(****),-0.3132(****),-0.1012(****),0.0260(**),0.0023(****),0.0000(),-0.0011(****),0.0016(****),0.3947(****),False,True,0.16180272457962575,142341
Model 372,9.2305(****),1.2688(**),-3.0606(****),-169.8587(****),--,--,--,--,1.5496(****),0.0312(),-0.1505(****),-0.0899(****),0.0311(***),0.0020(****),0.0000(),-0.0004(****),0.0004(**),0.3804(****),True,True,0.12328950421819884,142341
Model 373,17.0598(****),1.5910(***),-6.2966(****),--,-18.2276(***),--,--,--,1.5572(****),0.1688(****),-0.2502(****),-0.0740(****),0.0197(*),0.0022(****),0.0001(*),-0.0007(****),0.0018(****),0.4251(****),False,False,0.2197770899345146,143508
Model 374,14.8179(****),2.1773(****),-4.6427(****),--,-31.0458(****),--,--,--,1.8795(****),0.0943(****),-0.0964(***),-0.0666(****),0.0245(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4225(****),True,False,0.1854523362034194,143508
Model 375,10.3961(****),0.3680(),-4.4671(****),--,-45.3874(****),--,--,--,1.1163(****),0.0681(****),-0.3101(****),-0.1010(****),0.0258(**),0.0023(****),0.0000(),-0.0011(****),0.0016(****),0.3986(****),False,True,0.1620770165500519,143508
